doctor_id,visits,unique_patients,departments_covered,high_risk_visits,avg_los_hours,total_billed,rejection_rate_pct
180,290,284,6,64,20.14,6464242.15,15.9
188,285,278,6,64,19.43,5850945.79,15.8
113,283,276,6,50,18.9,5966953.46,14.5
195,282,273,6,51,18.43,5700357.09,15.2
111,280,276,6,46,19.43,5739535.79,16.8
169,279,273,6,68,19.42,5829865.97,14.3
161,273,272,6,53,17.87,5538781.68,22.7
133,271,263,6,59,19.74,5453342.38,12.5
152,269,255,6,55,18.93,5800567.49,15.2
177,266,258,6,67,18.99,5909707.87,12.0
131,266,263,6,62,18.72,5622601.61,13.5
174,264,259,6,71,20.67,5975974.81,15.9
179,263,255,6,50,20.03,5816787.28,11.8
153,263,254,6,46,20.89,5412000.43,19.4
136,263,258,6,43,18.86,5438235.05,11.4
185,263,253,6,50,18.66,5443295.37,13.7
181,263,254,6,46,18.45,5618652.75,16.3
165,262,254,6,55,20.94,5564210.18,14.9
106,262,254,6,56,19.96,5176518.58,17.9
156,262,254,6,53,18.49,5339804.9,16.0
114,262,258,6,53,20.14,5631861.33,13.4
123,261,254,6,53,20.02,5236129.97,14.6
155,261,255,6,54,19.41,5349374.12,13.0
135,261,255,6,65,18.98,5728848.92,14.9
157,259,251,6,39,19.34,5468190.86,11.2
126,259,251,6,57,20.09,4963031.69,15.1
199,259,252,6,42,19.25,5336484.27,14.7
129,257,250,6,57,19.8,5282038.62,19.5
171,257,249,6,54,20.35,5349648.15,14.4
187,257,254,6,51,20.25,5652139.56,13.6
107,257,250,6,51,18.37,5277388.88,17.5
143,255,248,6,51,20.36,5008739.89,13.3
154,254,251,6,50,19.95,4969884.43,18.1
170,254,249,6,50,20.04,5596389.06,13.8
118,253,245,6,50,18.94,5361480.75,13.0
198,252,246,6,69,19.03,5231433.83,18.3
164,252,245,6,56,20.58,5101665.06,17.1
149,251,247,6,53,18.02,5020472.14,12.7
163,250,245,6,55,18.15,4808940.53,18.4
190,250,247,6,39,19.3,5312651.12,12.4
105,250,244,6,65,21.39,5103229.39,15.2
117,250,246,6,51,19.43,5064072.89,11.2
150,250,245,6,49,19.07,4990280.95,14.0
109,250,239,6,46,19.04,5163169.42,18.8
166,250,243,6,50,19.12,5404873.55,16.8
102,249,234,6,42,19.09,5198995.13,14.9
158,249,245,6,58,19.35,5211416.4,14.5
142,249,242,6,54,20.75,5066613.7,18.9
134,248,241,6,39,18.98,5403621.05,15.3
130,247,241,6,49,18.89,5110740.82,12.6
140,247,242,6,47,20.48,5167718.76,14.6
121,246,241,6,59,18.01,5002391.54,14.6
178,245,242,6,61,19.73,4829294.2,16.3
173,245,238,6,43,20.33,5194982.12,17.6
115,245,238,6,55,18.51,5398198.37,14.7
144,245,240,6,49,19.85,5419328.0,10.6
184,245,241,6,47,19.73,5258761.93,12.7
200,244,243,6,46,19.48,5327568.57,18.4
138,244,241,6,45,20.34,4849037.17,16.8
162,244,236,6,50,19.88,4863681.77,14.3
193,244,238,6,47,20.46,5189521.22,14.8
197,244,243,6,54,19.9,5042143.65,15.2
194,243,237,6,57,19.66,4765839.21,15.6
104,242,235,6,44,20.03,5146498.21,14.9
108,242,235,6,61,18.78,5201017.59,16.1
132,241,233,6,44,19.08,5131983.12,13.3
101,241,230,6,44,20.87,4992878.09,15.4
176,239,239,6,53,17.66,5171778.17,15.9
172,239,235,6,51,19.74,4941997.56,14.2
100,239,232,6,56,19.32,4979429.04,13.4
175,238,230,6,38,20.29,5210809.96,16.0
159,238,230,6,39,19.78,4780871.65,15.1
119,238,234,6,50,20.19,5024238.1,16.4
125,237,231,6,50,19.4,5369777.34,13.9
148,237,232,6,37,19.61,4834163.3,11.8
167,236,230,6,40,20.09,4970654.26,17.4
146,236,229,6,49,18.95,4772217.12,19.5
196,236,229,6,49,21.33,5247357.33,15.3
127,235,229,6,42,20.96,5174031.11,15.7
182,234,231,6,57,19.05,5054233.2,16.2
147,233,227,6,48,20.22,4949051.98,12.9
189,231,226,6,47,20.38,4785564.84,15.2
141,231,224,6,52,19.67,4869731.61,21.2
168,230,223,6,45,20.86,4699729.66,17.0
116,230,223,6,46,19.81,4765039.32,15.7
122,229,219,6,42,18.24,4199517.41,15.7
128,229,224,6,37,19.02,4995998.49,14.4
183,228,223,6,46,20.36,4961211.41,17.1
151,228,222,6,40,19.1,4729634.72,17.1
145,228,222,6,41,18.57,4681182.08,13.6
103,227,223,6,45,19.25,4727829.46,15.0
192,226,225,6,47,21.12,4583500.69,12.4
137,225,222,6,34,20.1,4988183.48,15.6
112,225,222,6,43,19.08,4700107.49,15.1
160,225,221,6,41,18.61,4726295.26,14.2
124,224,219,6,38,18.85,4754471.22,17.0
110,224,219,6,39,19.95,4143453.07,15.2
191,223,221,6,47,20.36,4618467.65,13.5
120,223,217,6,41,18.88,4543452.54,11.2
186,216,209,6,51,19.36,4479720.08,16.2
139,214,212,6,39,19.61,4488204.82,15.4
