visit_month,department,visits,unique_patients,high_risk_visits,avg_los_hours,total_billed,total_collected
2025-01-01,Cardiology,140,138,21,18.99,2837502.91,1627404.1
2025-01-01,ER,139,137,29,20.39,2584326.07,1440950.84
2025-01-01,General,137,136,32,21.11,2557395.03,1512676.91
2025-01-01,ICU,148,147,32,19.61,3035198.59,2005556.75
2025-01-01,Neurology,122,121,20,18.79,2602596.46,1523202.72
2025-01-01,Orthopedics,146,146,35,18.35,2839054.43,1628799.88
2025-02-01,Cardiology,322,312,55,20.63,6918721.92,3997913.38
2025-02-01,ER,313,302,64,19.24,6737640.38,4113961.0
2025-02-01,General,336,329,69,19.35,6980520.67,4018989.84
2025-02-01,ICU,307,300,63,20.4,6490059.02,3837064.55
2025-02-01,Neurology,299,293,62,20.74,6371849.44,3587727.65
2025-02-01,Orthopedics,323,314,51,19.01,6870429.73,3904553.51
2025-03-01,Cardiology,281,271,48,20.53,5756085.49,3297060.81
2025-03-01,ER,363,350,77,19.53,7368390.33,4239436.46
2025-03-01,General,363,351,62,20.23,7429638.88,3934311.7
2025-03-01,ICU,343,323,66,19.47,7161219.59,3873573.18
2025-03-01,Neurology,353,342,69,19.93,7285209.95,4287276.11
2025-03-01,Orthopedics,374,360,74,20.31,7976963.71,4741641.17
2025-04-01,Cardiology,353,338,65,19.44,7227072.49,4327999.1
2025-04-01,ER,325,312,77,20.6,6977574.06,4219953.68
2025-04-01,General,344,339,83,18.79,6520903.39,3684227.68
2025-04-01,ICU,333,323,74,19.85,7388898.72,3856416.82
2025-04-01,Neurology,412,398,89,18.97,8449565.72,5101762.33
2025-04-01,Orthopedics,318,310,61,19.62,6828692.99,4261123.93
2025-05-01,Cardiology,386,370,68,19.83,7899821.74,4405826.84
2025-05-01,ER,368,352,70,20.1,7522491.81,4077958.12
2025-05-01,General,328,314,59,18.9,6707153.18,4080174.33
2025-05-01,ICU,344,332,70,19.16,6989644.38,4095939.55
2025-05-01,Neurology,351,339,77,20.76,7413527.95,4510706.92
2025-05-01,Orthopedics,367,354,81,20.1,7632808.71,4454464.36
2025-06-01,Cardiology,347,341,83,19.23,7170214.28,3986468.53
2025-06-01,ER,306,297,63,18.97,6620823.17,3727518.56
2025-06-01,General,351,340,88,19.24,7013986.03,4041158.64
2025-06-01,ICU,318,301,57,19.45,6581476.42,3739731.3
2025-06-01,Neurology,342,332,73,18.86,6981639.49,4180423.82
2025-06-01,Orthopedics,352,341,66,19.61,7468600.28,4300585.24
2025-07-01,Cardiology,336,322,60,19.72,6687381.98,3503090.27
2025-07-01,ER,369,354,76,19.26,7857940.42,4472607.48
2025-07-01,General,344,334,61,19.85,7360951.02,4444613.77
2025-07-01,ICU,334,323,74,18.96,6538166.02,3497927.28
2025-07-01,Neurology,345,332,61,19.64,7014698.05,3557281.93
2025-07-01,Orthopedics,350,336,80,20.06,7562523.79,4474033.4
2025-08-01,Cardiology,357,346,70,19.17,7334281.16,4335700.0
2025-08-01,ER,368,350,73,19.18,7729529.11,4490184.91
2025-08-01,General,336,326,56,19.31,7105019.82,4297643.14
2025-08-01,ICU,344,334,73,19.09,6997288.94,4215012.2
2025-08-01,Neurology,331,317,71,20.17,6919963.65,3634206.08
2025-08-01,Orthopedics,356,346,85,19.05,7601982.42,3910669.77
2025-09-01,Cardiology,392,370,77,18.08,8387812.87,5170571.13
2025-09-01,ER,338,327,65,19.58,6932100.31,4275504.02
2025-09-01,General,360,350,64,19.52,7414261.96,4267393.2
2025-09-01,ICU,357,340,69,19.75,7561360.95,4521240.33
2025-09-01,Neurology,357,345,61,19.2,7428761.95,4404995.6
2025-09-01,Orthopedics,330,322,65,19.7,6807810.51,4155788.03
2025-10-01,Cardiology,341,325,50,19.96,7176396.97,3866551.08
2025-10-01,ER,357,349,92,18.32,7430334.27,4463421.27
2025-10-01,General,374,360,72,20.01,7933561.63,4849566.3
2025-10-01,ICU,322,309,60,19.93,6730047.97,4066225.26
2025-10-01,Neurology,331,315,70,20.2,7152399.0,4299747.68
2025-10-01,Orthopedics,381,368,77,20.15,7780711.74,4651707.86
2025-11-01,Cardiology,372,358,77,20.08,7430074.64,4161232.13
2025-11-01,ER,324,314,62,19.59,6603433.96,3713415.92
2025-11-01,General,343,332,67,19.79,6873587.31,3960524.37
2025-11-01,ICU,321,307,76,18.15,6926864.35,4195465.18
2025-11-01,Neurology,344,330,79,19.04,7177326.21,3612319.12
2025-11-01,Orthopedics,337,329,68,19.92,6925519.42,3955047.97
2025-12-01,Cardiology,329,321,71,19.12,6819018.76,4015809.31
2025-12-01,ER,396,380,85,20.11,8853793.67,4933506.33
2025-12-01,General,371,350,75,17.78,8141766.57,4773763.35
2025-12-01,ICU,365,351,83,18.79,7651425.74,4432873.63
2025-12-01,Neurology,344,331,72,19.98,7346480.61,4252875.55
2025-12-01,Orthopedics,331,316,67,18.91,7310666.98,4131640.62
2026-01-01,Cardiology,203,199,45,20.39,4426870.98,2788924.65
2026-01-01,ER,254,251,39,19.54,5468582.79,3203156.68
2026-01-01,General,241,236,51,19.95,5092706.37,2919619.06
2026-01-01,ICU,228,224,48,19.22,4706113.07,2692012.35
2026-01-01,Neurology,234,229,42,19.78,5166029.61,3442028.6
2026-01-01,Orthopedics,199,196,32,20.04,4205691.09,2631779.98
