billing_month,claims,billed_amount,approved_amount,collected_amount,pending_amount,rejected_amount,leakage_amount,realization_rate_pct,leakage_rate_pct
2025-01-01,815,16512680.96,11987749.45,9267856.31,4014902.8,2606921.5,3229921.85,56.1,19.6
2025-02-01,1864,38417124.28,28264343.53,22155351.03,9235982.96,5845557.76,7025790.29,57.7,18.3
2025-03-01,2050,42356017.52,31312128.96,24413048.93,10474004.6,5926631.86,7468963.99,57.6,17.6
2025-04-01,2044,42102548.99,31405140.11,24485067.06,10381308.52,6126034.28,7236173.41,58.2,17.2
2025-05-01,2078,43818032.32,32525989.34,25715333.67,10347066.8,6155534.28,7755631.85,58.7,17.7
2025-06-01,2086,44369955.65,33250724.07,26118681.61,10907272.83,6023050.89,7344001.21,58.9,16.6
2025-07-01,2123,43465828.01,32395374.45,24990256.64,11244977.42,6083424.19,7230593.95,57.5,16.6
2025-08-01,2127,44687278.68,33470552.16,26192842.63,10857206.7,6224920.75,7637229.35,58.6,17.1
2025-09-01,2076,42831796.02,31624782.82,24047421.8,11160036.45,6055192.13,7624337.77,56.1,17.8
2025-10-01,2160,45985385.1,33723510.43,26504677.37,10867825.5,6795748.43,8612882.23,57.6,18.7
2025-11-01,2032,42035197.18,30842552.92,23995729.87,10240024.97,6605506.57,7799442.34,57.1,18.6
2025-12-01,2163,45571538.43,33972801.85,26862507.1,10715842.69,6474367.97,7993188.64,58.9,17.5
2026-01-01,1382,29615552.91,22380238.28,17517443.08,7254322.0,3964010.53,4843787.83,59.1,16.4
