column,dtype,n,n_missing,pct_missing,n_unique,min,p25,median,mean,p75,max,std,skew,top_value,top_share_pct
visit_id,int64,25000,0,0.0,25000,1.0,6250.75,12500.5,12500.5,18750.25,25000.0,7217.02,0.0,,
visit_date,datetime64[s],25000,0,0.0,366,,,,,,,,,2025-08-05 00:00:00,0.38
visit_month,object,25000,0,0.0,13,,,,,,,,,2025-05-01,8.58
patient_id,int64,25000,0,0.0,4967,1.0,1249.0,2505.0,2509.52,3764.0,5000.0,1448.69,-0.003,,
age,int64,25000,0,0.0,90,1.0,33.0,45.0,44.77,57.0,90.0,17.78,-0.03,,
age_band,str,25000,0,0.0,5,,,,,,,,,35-49,31.33
gender,str,25000,0,0.0,2,,,,,,,,,F,50.96
city,str,25000,0,0.0,6,,,,,,,,,Hyderabad,17.48
insurance_provider,str,25000,0,0.0,4,,,,,,,,,MediCareX,26.13
chronic_flag,int64,25000,0,0.0,2,0.0,0.0,1.0,0.5,1.0,1.0,0.5,-0.01,,
registration_date,datetime64[s],25000,0,0.0,366,,,,,,,,,2025-10-20 00:00:00,0.47
department,str,25000,0,0.0,6,,,,,,,,,General,16.91
visit_type,str,25000,0,0.0,3,,,,,,,,,ER,33.53
length_of_stay_hours,float64,25000,0,0.0,4935,0.5,9.96,18.2,19.55,27.31,78.42,12.31,0.658,,
risk_score,str,25000,0,0.0,3,,,,,,,,,Low,49.88
is_high_risk,bool,25000,0,0.0,2,,,,,,,,,False,79.86
doctor_id,int64,25000,0,0.0,101,100.0,125.0,151.0,150.17,175.0,200.0,29.14,-0.011,,
bill_id,int64,25000,0,0.0,25000,1.0,6250.75,12500.5,12500.5,18750.25,25000.0,7217.02,0.0,,
billing_date,datetime64[s],25000,0,0.0,366,,,,,,,,,2025-07-14 00:00:00,0.4
billing_month,object,25000,0,0.0,13,,,,,,,,,2025-12-01,8.65
billed_amount,float64,25000,0,0.0,24695,500.0,11582.45,19644.85,20870.76,28398.07,88539.01,12606.29,0.691,,
approved_amount,float64,25000,1318,5.272,19882,0.0,4603.07,14379.65,16348.11,24845.02,88539.01,13778.8,0.827,,
claim_status,str,25000,0,0.0,3,,,,,,,,,Paid,59.76
payment_days,float64,25000,790,3.16,53,1.0,8.0,13.0,13.05,17.0,55.0,7.24,0.694,,
is_paid,bool,25000,0,0.0,2,,,,,,,,,True,59.76
is_pending,bool,25000,0,0.0,2,,,,,,,,,False,74.95
is_rejected,bool,25000,0,0.0,2,,,,,,,,,False,84.81
collected_amount,float64,25000,0,0.0,13944,0.0,0.0,4996.21,12090.65,22010.51,88539.01,14825.51,1.12,,
leakage_amount,float64,25000,0,0.0,4595,0.0,0.0,0.0,3672.08,0.0,78054.79,8633.61,2.418,,
pending_amount,float64,25000,0,0.0,6201,0.0,0.0,0.0,5108.03,500.0,76253.38,10696.82,2.224,,
billing_lag_days,int64,25000,0,0.0,720,-362.0,-106.0,1.0,1.15,109.0,364.0,149.52,-0.02,,
billed_band,category,25000,0,0.0,4,,,,,,,,,15k-30k,43.57
approved_ratio,float64,25000,1318,5.272,5964,0.0,0.66,1.0,0.77,1.0,1.0,0.36,-1.425,,
