column,dtype,n,n_missing,pct_missing,n_unique,min,p25,median,mean,p75,max,std,skew,top_value,top_share_pct
visit_id,int64,25000,0,0.0,25000,1.0,6250.75,12500.5,12500.5,18750.25,25000.0,7217.02,0.0,,
patient_id,int64,25000,0,0.0,4967,1.0,1249.0,2505.0,2509.52,3764.0,5000.0,1448.69,-0.003,,
visit_date,datetime64[s],25000,0,0.0,366,,,,,,,,,2025-08-05 00:00:00,0.38
target_risk_score,str,25000,0,0.0,3,,,,,,,,,Low,49.88
target_claim_status,str,25000,0,0.0,3,,,,,,,,,Paid,59.76
target_is_high_risk,bool,25000,0,0.0,2,,,,,,,,,False,79.86
target_is_rejected,bool,25000,0,0.0,2,,,,,,,,,False,84.81
prior_visit_count,int64,25000,0,0.0,15,0.0,1.0,2.0,2.47,4.0,14.0,2.11,0.874,,
prior_high_risk_count,int64,25000,0,0.0,6,0.0,0.0,0.0,0.5,1.0,5.0,0.76,1.703,,
prior_rejection_count,int64,25000,0,0.0,6,0.0,0.0,0.0,0.38,1.0,5.0,0.66,1.913,,
is_first_visit,bool,25000,0,0.0,2,,,,,,,,,False,80.01
days_since_last_visit,float64,25000,4998,19.992,311,1.0,17.0,41.0,56.33,80.0,345.0,52.3,1.541,,
has_prior_visit,bool,25000,0,0.0,2,,,,,,,,,True,80.01
prior_rejection_rate,float64,25000,4998,19.992,36,0.0,0.0,0.0,0.15,0.25,1.0,0.25,1.892,,
department,str,25000,0,0.0,6,,,,,,,,,General,16.91
visit_type,str,25000,0,0.0,3,,,,,,,,,ER,33.53
age,int64,25000,0,0.0,90,1.0,33.0,45.0,44.77,57.0,90.0,17.78,-0.03,,
age_band,str,25000,0,0.0,5,,,,,,,,,35-49,31.33
gender,str,25000,0,0.0,2,,,,,,,,,F,50.96
city,str,25000,0,0.0,6,,,,,,,,,Hyderabad,17.48
chronic_flag,int64,25000,0,0.0,2,0.0,0.0,1.0,0.5,1.0,1.0,0.5,-0.01,,
doctor_id,int64,25000,0,0.0,101,100.0,125.0,151.0,150.17,175.0,200.0,29.14,-0.011,,
doctor_load_30d,int64,25000,0,0.0,40,0.0,16.0,20.0,19.41,23.0,39.0,5.53,-0.597,,
length_of_stay_hours,float64,25000,0,0.0,4935,0.5,9.96,18.2,19.55,27.31,78.42,12.31,0.658,,
los_at_floor,bool,25000,0,0.0,2,,,,,,,,,False,98.8
risk_score,str,25000,0,0.0,3,,,,,,,,,Low,49.88
billed_amount,float64,25000,0,0.0,24695,500.0,11582.45,19644.85,20870.76,28398.07,88539.01,12606.29,0.691,,
log_billed_amount,float64,25000,0,0.0,24695,6.22,9.36,9.89,9.68,10.25,11.39,0.88,-1.56,,
billed_band,str,25000,0,0.0,4,,,,,,,,,15k-30k,43.57
billed_at_floor,bool,25000,0,0.0,2,,,,,,,,,False,99.03
insurance_provider,str,25000,0,0.0,4,,,,,,,,,MediCareX,26.13
provider_prior_claim_count,float64,25000,0,0.0,1331,0.0,1553.0,3117.0,3119.21,4670.0,6520.0,1809.85,0.011,,
provider_prior_rejection_rate,float64,25000,73,0.292,1420,0.05,0.15,0.15,0.15,0.16,0.23,0.01,-1.276,,
visit_month,str,25000,0,0.0,13,,,,,,,,,2025-05,8.58
month,int32,25000,0,0.0,12,1.0,4.0,7.0,6.52,10.0,12.0,3.46,-0.012,,
day_of_week,int32,25000,0,0.0,7,0.0,1.0,3.0,3.0,5.0,6.0,2.0,-0.007,,
day_name,str,25000,0,0.0,7,,,,,,,,,Friday,14.55
is_weekend,bool,25000,0,0.0,2,,,,,,,,,False,71.48
week_of_year,int64,25000,0,0.0,52,1.0,13.0,26.0,26.44,39.0,52.0,15.08,0.002,,
quarter,int32,25000,0,0.0,4,1.0,2.0,3.0,2.51,4.0,4.0,1.12,-0.01,,
day_of_year,int32,25000,0,0.0,365,1.0,92.0,183.0,182.8,274.0,365.0,105.65,-0.002,,
