model,feature,model_allowed,mutual_info,noise_floor,signal_above_noise,pct_of_target_entropy,noise_pct_of_target_entropy
Model A (risk_score),risk_score,False,1.03081,3e-05,1.03078,100.0,0.003
Model A (risk_score),length_of_stay_hours,False,0.00966,0.0,0.00966,0.937,0.0
Model A (risk_score),provider_prior_claim_count,True,0.00417,0.0,0.00417,0.404,0.0
Model A (risk_score),day_of_year,True,0.00177,0.00432,-0.00255,0.172,0.419
Model A (risk_score),age,True,0.00161,0.0,0.00161,0.156,0.0
Model A (risk_score),doctor_id,True,0.00097,0.00017,0.0008,0.094,0.017
Model A (risk_score),week_of_year,True,0.00064,0.0,0.00064,0.062,0.0
Model A (risk_score),prior_visit_count,True,0.0006,0.00046,0.00015,0.059,0.044
Model A (risk_score),month,True,0.00044,0.00026,0.00018,0.043,0.025
Model A (risk_score),city,True,0.00039,0.00013,0.00026,0.038,0.013
Model A (risk_score),prior_high_risk_count,True,0.00032,0.00012,0.0002,0.031,0.011
Model A (risk_score),quarter,True,0.00022,7e-05,0.00016,0.021,0.006
Model A (risk_score),day_of_week,True,0.00018,0.0003,-0.00012,0.017,0.029
Model A (risk_score),prior_rejection_count,True,0.00016,0.00031,-0.00015,0.016,0.03
Model A (risk_score),department,True,0.00015,0.0001,5e-05,0.014,0.009
Model A (risk_score),insurance_provider,True,0.0001,0.00018,-9e-05,0.009,0.018
Model A (risk_score),age_band,True,8e-05,9e-05,-0.0,0.008,0.008
Model A (risk_score),billed_band,False,8e-05,0.00015,-6e-05,0.008,0.014
Model A (risk_score),visit_type,True,7e-05,4e-05,3e-05,0.007,0.004
Model A (risk_score),los_at_floor,False,6e-05,2e-05,5e-05,0.006,0.002
Model A (risk_score),chronic_flag,True,3e-05,2e-05,2e-05,0.003,0.002
Model A (risk_score),is_first_visit,True,2e-05,3e-05,-1e-05,0.002,0.003
Model A (risk_score),has_prior_visit,True,2e-05,3e-05,-1e-05,0.002,0.003
Model A (risk_score),billed_at_floor,False,2e-05,3e-05,-1e-05,0.002,0.003
Model A (risk_score),days_since_last_visit,True,0.0,5e-05,-5e-05,0.0,0.005
Model A (risk_score),prior_rejection_rate,True,0.0,0.0,0.0,0.0,0.0
Model A (risk_score),gender,True,0.0,1e-05,-1e-05,0.0,0.001
Model A (risk_score),doctor_load_30d,True,0.0,0.0009,-0.0009,0.0,0.087
Model A (risk_score),billed_amount,False,0.0,0.0,0.0,0.0,0.0
Model A (risk_score),log_billed_amount,False,0.0,0.0,0.0,0.0,0.0
Model A (risk_score),provider_prior_rejection_rate,True,0.0,0.0,0.0,0.0,0.0
Model A (risk_score),is_weekend,True,0.0,1e-05,-1e-05,0.0,0.001
Model B (claim_status),billed_amount,True,0.03898,0.00144,0.03754,4.144,0.153
Model B (claim_status),log_billed_amount,True,0.03898,0.00128,0.0377,4.144,0.136
Model B (claim_status),billed_band,True,0.0243,0.00032,0.02398,2.583,0.034
Model B (claim_status),days_since_last_visit,True,0.00343,0.00358,-0.00015,0.365,0.381
Model B (claim_status),week_of_year,True,0.00285,0.00242,0.00043,0.303,0.257
Model B (claim_status),age,True,0.00262,0.00342,-0.0008,0.279,0.364
Model B (claim_status),doctor_load_30d,True,0.00105,0.00328,-0.00223,0.112,0.349
Model B (claim_status),prior_visit_count,True,0.00065,0.00056,9e-05,0.069,0.059
Model B (claim_status),billed_at_floor,True,0.00059,0.0001,0.00049,0.063,0.011
Model B (claim_status),prior_rejection_count,True,0.0004,6e-05,0.00033,0.042,0.007
Model B (claim_status),month,True,0.00036,0.00031,6e-05,0.039,0.032
Model B (claim_status),age_band,True,0.0003,7e-05,0.00024,0.032,0.007
Model B (claim_status),day_of_week,True,0.00028,0.00023,5e-05,0.03,0.025
Model B (claim_status),prior_high_risk_count,True,0.00019,0.00019,-0.0,0.02,0.02
Model B (claim_status),visit_type,True,0.00016,9e-05,7e-05,0.017,0.01
Model B (claim_status),insurance_provider,True,0.00015,8e-05,7e-05,0.016,0.009
Model B (claim_status),is_first_visit,True,0.00011,2e-05,9e-05,0.012,0.002
Model B (claim_status),has_prior_visit,True,0.00011,2e-05,9e-05,0.012,0.002
Model B (claim_status),gender,True,0.0001,1e-05,9e-05,0.011,0.001
Model B (claim_status),city,True,0.0001,0.00011,-0.0,0.011,0.011
Model B (claim_status),quarter,True,9e-05,8e-05,1e-05,0.009,0.008
Model B (claim_status),department,True,7e-05,0.00011,-4e-05,0.008,0.012
Model B (claim_status),los_at_floor,True,7e-05,2e-05,5e-05,0.007,0.002
Model B (claim_status),risk_score,True,7e-05,6e-05,1e-05,0.008,0.006
Model B (claim_status),is_weekend,True,7e-05,0.0,7e-05,0.007,0.0
Model B (claim_status),chronic_flag,True,3e-05,2e-05,1e-05,0.003,0.002
Model B (claim_status),prior_rejection_rate,True,0.0,0.00057,-0.00057,0.0,0.06
Model B (claim_status),doctor_id,True,0.0,0.00361,-0.00361,0.0,0.384
Model B (claim_status),length_of_stay_hours,True,0.0,0.0,0.0,0.0,0.0
Model B (claim_status),provider_prior_claim_count,True,0.0,0.0,0.0,0.0,0.0
Model B (claim_status),provider_prior_rejection_rate,True,0.0,0.0,0.0,0.0,0.0
Model B (claim_status),day_of_year,True,0.0,0.0,0.0,0.0,0.0
