month,visits,high_risk_visits,unique_patients,avg_los_hours,high_risk_pct
2025-01,832,169,771,19.54,20.31
2025-02,1900,364,1597,19.88,19.16
2025-03,2077,396,1686,19.99,19.07
2025-04,2085,449,1705,19.51,21.53
2025-05,2144,425,1744,19.82,19.82
2025-06,2016,430,1651,19.23,21.33
2025-07,2078,412,1675,19.58,19.83
2025-08,2092,428,1721,19.32,20.46
2025-09,2134,401,1720,19.28,18.79
2025-10,2106,421,1716,19.76,19.99
2025-11,2041,429,1687,19.45,21.02
2025-12,2136,453,1742,19.12,21.21
2026-01,1359,257,1187,19.8,18.91
