dimension,value,n,avg_los_hours,median_los_hours,spread_vs_overall
department,Cardiology,4159,19.6,18.01,0.05
department,ER,4220,19.53,18.12,-0.02
department,General,4228,19.43,18.13,-0.12
department,ICU,4064,19.36,17.85,-0.19
department,Neurology,4165,19.72,18.63,0.17
department,Orthopedics,4164,19.66,18.38,0.11
visit_type,ER,8382,19.41,18.08,-0.14
visit_type,ICU,8237,19.53,18.24,-0.02
visit_type,OPD,8381,19.71,18.28,0.16
risk_score,High,5034,19.76,18.22,0.21
risk_score,Low,12470,19.15,18.08,-0.4
risk_score,Medium,7496,20.08,18.52,0.53
age_band,0-17,1645,19.25,18.16,-0.3
age_band,18-34,5471,19.58,18.2,0.03
age_band,35-49,7833,19.54,18.19,-0.01
age_band,50-64,6710,19.74,18.38,0.19
age_band,65+,3341,19.3,17.92,-0.25
chronic_flag,0,12435,19.54,18.14,-0.01
chronic_flag,1,12565,19.57,18.25,0.02
gender,F,12739,19.59,18.2,0.04
gender,M,12261,19.51,18.21,-0.04
