dimension,value,claims,rejection_rate_pct
department,Cardiology,4159,15.6
department,ER,4220,15.0
department,General,4228,15.21
department,ICU,4064,14.62
department,Neurology,4165,15.05
department,Orthopedics,4164,15.63
insurance_provider,CareOne,6283,14.87
insurance_provider,HealthPlus,6220,14.97
insurance_provider,MediCareX,6532,15.25
insurance_provider,SecureLife,5965,15.69
visit_type,ER,8382,16.0
visit_type,ICU,8237,14.79
visit_type,OPD,8381,14.77
risk_score,High,5034,16.01
risk_score,Low,12470,14.96
risk_score,Medium,7496,15.02
age_band,0-17,1645,15.87
age_band,18-34,5471,14.93
age_band,35-49,7833,15.41
age_band,50-64,6710,15.31
age_band,65+,3341,14.52
gender,F,12739,15.65
gender,M,12261,14.71
chronic_flag,0,12435,15.17
chronic_flag,1,12565,15.2
billed_band,<5k,2461,4.51
billed_band,5k-15k,6237,13.92
billed_band,15k-30k,10892,22.66
billed_band,30k+,5410,6.47
