feature,kind,psi,ks_stat,ks_pvalue,band,drifted
age,numeric,0.021092523506118916,0.023990610328638584,0.7752858643053708,stable,False
week_of_year,numeric,0.012367987530911487,0.02514866979655711,0.7240869199215473,stable,False
billed_amount,numeric,0.009707971833487584,0.02214397496087639,0.8503114333531555,stable,False
log_billed_amount,numeric,0.009707971833487584,0.02214397496087639,0.8503114333531555,stable,False
length_of_stay_hours,numeric,0.009018690951574699,0.04264475743348983,0.12981897043547458,stable,False
provider_prior_rejection_rate,numeric,0.008762498671859685,0.029264475743348978,0.5368892780535544,stable,False
insurance_provider,categorical,0.008608786798322521,,,stable,False
prior_visit_count,numeric,0.007594660722808439,0.0244913928012519,0.7534246458311307,stable,False
visit_type,categorical,0.007252512898255056,,,stable,False
provider_prior_claim_count,numeric,0.007138600749185778,0.020610328638497655,0.9030277508070697,stable,False
age_band,categorical,0.007026792750129369,,,stable,False
prior_high_risk_count,numeric,0.005986345770743829,0.01131455399061021,0.9999682540401991,stable,False
doctor_load_30d,numeric,0.005494177771015308,0.009890453834115798,0.9999991432847342,stable,False
days_since_last_visit,numeric,0.005308657314866315,0.03137483311258982,0.45323502449340397,stable,False
city,categorical,0.005151570234932073,,,stable,False
chronic_flag,numeric,0.0048140255013034185,0.03471048513302033,0.323876024865142,stable,False
department,categorical,0.004567459410800822,,,stable,False
prior_rejection_rate,numeric,0.004039714956176106,0.020088722932324832,0.9209744843607707,stable,False
prior_rejection_count,numeric,0.0030067311732774214,0.019280125195618114,0.9395137184949504,stable,False
day_of_week,numeric,0.002654454319029919,0.011768388106416228,0.9999231717118087,stable,False
gender,categorical,0.0020405069579861913,,,stable,False
billed_at_floor,categorical,0.0019386498517380336,,,stable,False
month,numeric,0.0017811959567058861,0.01918622848200313,0.9417328723746802,stable,False
billed_band,categorical,0.0006593089890518104,,,stable,False
los_at_floor,categorical,0.0005575180025725199,,,stable,False
is_weekend,categorical,0.0003133668214881236,,,stable,False
risk_score,categorical,0.00019947608699803678,,,stable,False
has_prior_visit,categorical,0.0001088832576913458,,,stable,False
is_first_visit,categorical,0.0001088832576913458,,,stable,False
