feature,kind,psi,ks_stat,ks_pvalue,band,drifted
insurance_provider,categorical,0.7284407067048744,,,significant,True
department,categorical,0.6694542333598922,,,significant,True
billed_amount,numeric,0.5639213088998778,0.31171361502347417,4.444278164488212e-91,significant,True
log_billed_amount,numeric,0.5639213088998778,0.31171361502347417,4.444278164488212e-91,significant,True
age,numeric,0.4953301098368966,0.29089872568745806,3.4231073168543005e-79,significant,True
age_band,categorical,0.4658421479777277,,,significant,True
billed_band,categorical,0.4030155548357076,,,significant,True
billed_at_floor,categorical,0.04465562263174252,,,stable,False
week_of_year,numeric,0.00617979248024623,0.018326626425217984,0.8629019973045323,stable,False
days_since_last_visit,numeric,0.005253934924502931,0.013100636795104606,0.9926388869264434,stable,False
provider_prior_rejection_rate,numeric,0.00491577488184384,0.021472166331321263,0.705964473903733,stable,False
prior_rejection_count,numeric,0.00429244282995314,0.015295103957075784,0.9622467820814888,stable,False
doctor_load_30d,numeric,0.0027516903696306236,0.013467471495640482,0.9893910440304572,stable,False
prior_rejection_rate,numeric,0.0023263839250472155,0.02171355463865543,0.6969512655482296,stable,False
day_of_week,numeric,0.0018875622471900384,0.009154929577464777,0.9999876860705775,stable,False
city,categorical,0.001733906442517929,,,stable,False
length_of_stay_hours,numeric,0.0017073326032996292,0.012615694164989949,0.9952282642590156,stable,False
prior_high_risk_count,numeric,0.001358408542812205,0.012230046948356721,0.996864841882365,stable,False
prior_visit_count,numeric,0.0013311928721678652,0.013618376928236031,0.9879719659052919,stable,False
has_prior_visit,categorical,0.0009273351559889716,,,stable,False
is_first_visit,categorical,0.0009273351559889716,,,stable,False
provider_prior_claim_count,numeric,0.0006490433301074964,0.012334004024144862,0.9964748578258054,stable,False
is_weekend,categorical,0.0003771358838176766,,,stable,False
risk_score,categorical,0.0002904547183711039,,,stable,False
los_at_floor,categorical,0.00014815290718661305,,,stable,False
visit_type,categorical,0.00014714450348849448,,,stable,False
gender,categorical,0.00011406414430326016,,,stable,False
month,numeric,2.3607177688161124e-05,0.001700201207243457,1.0,stable,False
chronic_flag,numeric,2.0577381670583196e-05,0.002273641851106678,1.0,stable,False
